Cod;Nombres;Sexo
1;Aaron;M
2;Aaronit;M
3;Aba;F
4;Abaco;M
5;Abalen;M
6;Abbas;M
7;Abbie;F
8;Abbott;M
9;Abby;F
10;Abdala;M
11;Abdas;M
12;Abdecalas;M
13;Abdel;M
14;Abderico;M
15;Abdias;M
16;Abdiel;M
17;Abdieso;M
18;Abdo;M
19;Abdon;M
20;Abdul;M
21;Abdullah;M
22;Abe;M
23;Abel;M
24;Abelardo;M
25;Abenamar;M
26;Abencio;M
27;Abeni;F
28;Aberardo;M
29;Abercio;M
30;Abey;M
31;Abhay;M
32;Abi;A
33;Abia;F
34;Abibo;M
35;Abibon;M
36;Abie;M
37;Abiel;M
38;Abigail;F
39;Abijah;M
40;Abijail;F
41;Abilio;M
42;Abimael;M
43;Abira;F
44;Abisai;M
45;Abner;M
46;Abra;F
47;Abraham;M
48;Abrahamitas;M
49;Abrahan;M
50;Abram;M
51;Abran;M
52;Abril;F
53;Abryl;F
54;Absalon;M
55;Abu;M
56;Abudemio;M
57;Abundancio;M
58;Abundio;M
59;Acabi;F
60;Acacia;F
61;Acacio;M
62;Acañir;A
63;Acantha;F
64;Acaropita;F
65;Acato;M
66;Accalia;F
67;Accas;M
68;Accio;M
69;Acdel;M
70;Ace;M
71;Acelin;M
72;Acepimas;M
73;Acilino;M
74;Acindino;M
75;Acira;F
76;Acisclo;M
77;Ackerley;M
78;Acnin;A
79;Acucio;M
80;Acursio;M
81;Ada;F
82;Adabella;F
83;Adah;F
84;Adair;M
85;Adala;M
86;Adalberto;M
87;Adalgisa;F
88;Adalia;F
89;Adalid;M
90;Adalino;M
91;Adalis;F
92;Adam;M
93;Adamina;F
94;Adamnan;M
95;Adamo;M
96;Adan;M
97;Adaobi;F
98;Adara;F
99;Adauco;M
100;Adaucto;M
101;Adbeel;M
102;Adbi;M
103;Addie;F
104;Addis;F
105;Addison;M
106;Ade;M
107;Adel;M
108;Adela;F
109;Adelaida;F
110;Adelaide;F
111;Adelardo;M
112;Adelberto;M
113;Adelburga;F
114;Adele;F
115;Adelfa;F
116;Adelfo;M
117;Adelgiro;M
118;Adelia;F
119;Adelina;F
120;Adeline;F
121;Adelino;M
122;Adelio;M
123;Adelle;F
124;Adelma;F
125;Adelmar;M
126;Adelmo;M
127;Adelqui;M
128;Adem;M
129;Ademar;M
130;Ademaro;M
131;Ademia;F
132;Adena;F
133;Aderes;M
134;Aderito;M
135;Adhelma;F
136;Adhemar;M
137;Adi;M
138;Adib;M
139;Adiel;M
140;Adil;M
141;Adila;F
142;Adilson;M
143;Adina;F
144;Adiran;M
145;Adita;F
146;Aditardo;M
147;Aditi;F
148;Adiva;F
149;Adlai;M
150;Adley;M
151;Admon;M
152;Ado;M
153;Adolfina;F
154;Adolfo;M
155;Adolph;M
156;Adon;M
157;Adonai;M
158;Adoncia;F
159;Adonia;F
160;Adonis;M
161;Adora;F
162;Adoracion;F
163;Adorinda;F
164;Adrew;M
165;Adria;F
166;Adrian;M
167;Adriana;F
168;Adriano;M
169;Adriel;M
170;Adrienne;F
171;Adrine;F
172;Adrio;M
173;Adrion;M
174;Adulfo;M
175;Adventor;M
176;Ady;F
177;Adyuto;M
178;Adyutor;M
179;Aeneas;M
180;Affrica;F
181;Afia;M
182;Afiano;M
183;Afif;A
184;Afra;F
185;Afraates;M
186;Afric;F
187;Africa;A
188;Africano;M
189;Afrides;M
190;Afrika;F
191;Afrodisio;M
192;Afrodita;F
193;Afton;M
194;Aftonio;M
195;Agabe;M
196;Agabio;M
197;Agabo;M
198;Agape;F
199;Agapio;M
200;Agapito;M
201;Agar;F
202;Agata;F
203;Agatangelo;M
204;Agate;A
205;Agatha;F
206;Agatoclia;F
207;Agatodoro;M
208;Agaton;M
209;Agatonica;F
210;Agatonico;M
211;Agatopodes;M
212;Agatopodo;M
213;Ageo;M
214;Agerico;M
215;Aggie;F
216;Aghavni;F
217;Agilberto;M
218;Agileo;M
219;Aglae;F
220;Agliberto;M
221;Agnano;M
222;Agnelo;M
223;Agnes;F
224;Agnese;F
225;Agnetha;F
226;Agnew;M
227;Agoardo;M
228;Agop;M
229;Agostina;F
230;Agostino;M
231;Agricio;M
232;Agricola;M
233;Agripa;M
234;Agripina;F
235;Agripino;M
236;Aguaclara;F
237;Agueda;F
238;Aguri;M
239;Agusti;M
240;Agustin;M
241;Agustina;F
242;Agustino;M
243;Aharon;M
244;Ahava;F
245;Ahearn;M
246;Ahian;M
247;Ahilton;M
248;Ahmad;M
249;Ahmed;M
250;Ahmik;M
251;Aiad;A
252;Aiako;F
253;Aiala;F
254;Aicardo;M
255;Aicha;F
256;Aida;F
257;Aidan;M
258;Aidano;M
259;Aide;F
260;Aiel;M
261;Aielet;F
262;Aien;A
263;Aigulfo;M
264;Aike;A
265;Aiken;F
266;Aiko;F
267;Aila;F
268;Aileen;F
269;Ailen;F
270;Ailin;F
271;Ailish;F
272;Ailla;F
273;Ailsa;F
274;Aimar;M
275;Aimara;F
276;Aimardo;M
277;Aime;F
278;Aimee;F
279;Aimery;M
280;Aimi;F
281;Aimie;F
282;Ain;A
283;Aina;F
284;Ainao;A
285;Ainara;F
286;Aine;F
287;Ainhoa;F
288;Ainsley;F
289;Ainslie;M
290;Aiosha;M
291;Airlia;F
292;Aischa;F
293;Aisha;F
294;Aisling;F
295;Aislinn;F
296;Aissatou;F
297;Aitalas;M
298;Aitana;F
299;Aitiana;F
300;Aitor;M
301;Aixa;F
302;Aiyana;F
303;Ajani;M
304;Ajay;M
